Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
tavon-austin,2020,GreenBayPackers,4,5,20,4,7,0,1,20,0,0
antony-auclair,2020,TampaBayBuccaneers,8,0,0,0,--,0,0,0,0,0
marcell-ateman,2020,LasVegasRaiders,--,--,--,--,--,--,--,--,--,--
devin-asiasi,2020,NewEnglandPatriots,9,2,39,19.5,26,1,2,100,1,0
dan-arnold,2020,ArizonaCardinals,16,31,438,14.1,59,4,24,77.42,8,2
ryquell-armstead,2020,JacksonvilleJaguars,--,--,--,--,--,--,--,--,--,--
alex-armah,2020,CarolinaPanthers,16,5,18,3.6,14,0,1,20,0,0
j-j-arcega-whiteside,2020,PhiladelphiaEagles,8,4,85,21.3,37,0,4,100,2,0
mark-andrews,2020,BaltimoreRavens,14,58,701,12.1,39,7,37,63.79,10,0
stephen-anderson,2020,LosAngelesChargers,16,8,106,13.3,23,0,7,87.5,1,0
robby-anderson,2020,CarolinaPanthers,16,95,1096,11.5,75,3,49,51.58,16,2
danny-amendola,2020,DetroitLions,14,46,602,13.1,50,0,30,65.22,8,1
tyson-alualu,2020,PittsburghSteelers,15,--,--,--,--,--,--,--,--,--
geronimo-allison,2020,DetroitLions,--,--,--,--,--,--,--,--,--,--
keenan-allen,2020,LosAngelesChargers,14,100,992,9.9,28,8,61,61,10,0
josh-allen-4,2020,BuffaloBills,16,1,12,12,12,1,1,100,0,0
mo-alie-cox,2020,IndianapolisColts,15,31,394,12.7,45,2,19,61.29,6,1
jordan-akins,2020,HoustonTexans,13,37,403,10.9,26,1,20,54.05,7,0
cam-akers,2020,LosAngelesRams,13,11,123,11.2,38,1,4,36.36,2,0
brandon-aiyuk,2020,SanFrancisco49ers,12,60,748,12.5,49,5,43,71.67,10,1
salvon-ahmed,2020,MiamiDolphins,6,11,61,5.6,13,0,2,18.18,0,0
jamal-agnew,2020,DetroitLions,14,13,89,6.9,20,0,4,30.77,1,0
nelson-agholor,2020,LasVegasRaiders,16,48,896,18.7,85,8,37,77.08,15,5
josh-adams,2020,NewYorkJets,8,6,29,4.8,11,0,2,33.33,0,0
jerell-adams,2020,DetroitLions,--,--,--,--,--,--,--,--,--,--
davante-adams,2020,GreenBayPackers,14,115,1374,12,56,18,73,63.48,18,5
ameer-abdullah,2020,MinnesotaVikings,16,8,58,7.3,22,2,4,50,1,0
damiere-byrd,2020,NewEnglandPatriots,16,47,604,12.9,42,1,29,61.7,10,1
kevin-byard,2020,TennesseeTitans,16,--,--,--,--,--,--,--,--,--
jake-butt,2020,DenverBroncos,5,2,5,2.5,5,0,0,0,0,0
trey-burton,2020,IndianapolisColts,13,28,250,8.9,20,3,14,50,1,0
michael-burton,2020,NewOrleansSaints,15,4,28,7,12,0,1,25,0,0
deontay-burnett,2020,PhiladelphiaEagles,2,3,19,6.3,10,0,1,33.33,0,0
rex-burkhead,2020,NewEnglandPatriots,10,25,192,7.7,24,3,11,44,1,0
ventell-bryant,2020,CarolinaPanthers,--,--,--,--,--,--,--,--,--,--
hunter-bryant,2020,DetroitLions,5,1,44,44,44,0,1,100,1,1
harrison-bryant,2020,ClevelandBrowns,15,24,238,9.9,35,3,14,58.33,1,0
dez-bryant,2020,BaltimoreRavens,6,6,47,7.8,16,2,3,50,0,0
pharaoh-brown,2020,HoustonTexans,13,14,163,11.6,29,2,9,64.29,2,0
noah-brown,2020,DallasCowboys,16,14,154,11,20,0,6,42.86,1,0
malcolm-brown,2020,LosAngelesRams,16,23,162,7,30,0,9,39.13,1,0
john-brown,2020,BuffaloBills,9,33,458,13.9,46,3,22,66.67,7,1
jaron-brown,2020,ArizonaCardinals,--,--,--,--,--,--,--,--,--,--
fred-brown,2020,DenverBroncos,1,--,--,--,--,--,--,--,--,--
a-j-brown,2020,TennesseeTitans,14,70,1075,15.4,73,11,55,78.57,13,5
marquise-brown,2020,BaltimoreRavens,16,58,769,13.3,70,8,35,60.34,13,4
daniel-brown,2020,NewYorkJets,16,2,31,15.5,18,0,2,100,0,0
antonio-brown,2020,TampaBayBuccaneers,8,45,483,10.7,46,4,27,60,6,1
jacoby-brissett,2020,IndianapolisColts,11,--,--,--,--,--,--,--,--,--
matt-breida,2020,MiamiDolphins,12,9,96,10.7,31,0,5,55.56,2,0
drew-brees,2020,NewOrleansSaints,12,--,--,--,--,--,--,--,--,--
cameron-brate,2020,TampaBayBuccaneers,16,28,282,10.1,25,2,17,60.71,2,0
tom-brady,2020,TampaBayBuccaneers,16,--,--,--,--,--,--,--,--,--
ja-marcus-bradley,2020,ClevelandBrowns,3,5,60,12,22,0,2,40,1,0
garrett-bradbury,2020,MinnesotaVikings,16,--,--,--,--,--,--,--,--,--
nick-boyle,2020,BaltimoreRavens,9,14,113,8.1,21,2,8,57.14,1,0
miles-boykin,2020,BaltimoreRavens,16,19,266,14,43,4,14,73.68,3,1
tyler-boyd,2020,CincinnatiBengals,15,79,841,10.7,72,4,43,54.43,7,1
lynn-bowden,2020,MiamiDolphins,10,28,211,7.5,22,0,13,46.43,1,0
kendrick-bourne,2020,SanFrancisco49ers,15,49,667,13.6,49,2,35,71.43,7,1
blake-bortles,2020,LosAngelesRams,0,--,--,--,--,--,--,--,--,--
mike-boone,2020,MinnesotaVikings,16,2,10,5,6,0,0,0,0,0
devontae-booker,2020,LasVegasRaiders,16,17,84,4.9,17,0,2,11.76,0,0
reggie-bonnafon,2020,CarolinaPanthers,2,2,18,9,15,1,2,100,0,0
victor-bolden,2020,DetroitLions,--,--,--,--,--,--,--,--,--,--
brandon-bolden,2020,NewEnglandPatriots,--,--,--,--,--,--,--,--,--,--
tommy-bohanon,2020,BaltimoreRavens,--,--,--,--,--,--,--,--,--,--
c-j-board,2020,NewYorkGiants,14,11,101,9.2,16,0,6,54.55,0,0
david-blough,2020,DetroitLions,1,--,--,--,--,--,--,--,--,--
khari-blasingame,2020,TennesseeTitans,15,4,39,9.8,16,0,2,50,0,0
christian-blake,2020,AtlantaFalcons,16,13,141,10.9,25,0,6,46.15,3,0
justin-blackmon,2020,JacksonvilleJaguars,--,--,--,--,--,--,--,--,--,--
braxton-berrios,2020,NewYorkJets,16,37,394,10.7,43,3,19,51.35,6,1
giovani-bernard,2020,CincinnatiBengals,16,47,355,7.6,42,3,15,31.91,3,1
travis-benjamin,2020,SanFrancisco49ers,--,--,--,--,--,--,--,--,--,--
nick-lalonde-bellore,2020,SeattleSeahawks,16,1,9,9,9,0,1,100,0,0
levante-bellamy,2020,DenverBroncos,5,1,5,5,5,0,0,0,0,0
le-veon-bell,2020,KansasCityChiefs,11,16,138,8.6,30,0,7,43.75,1,0
blake-bell,2020,DallasCowboys,16,11,110,10,24,0,7,63.64,1,0
chad-beebe,2020,MinnesotaVikings,14,20,201,10.1,40,2,12,60,1,1
odell-beckham,2020,ClevelandBrowns,7,23,319,13.9,43,3,17,73.91,3,1
andrew-beck,2020,DenverBroncos,10,--,--,--,--,--,--,--,--,--
cole-beasley,2020,BuffaloBills,15,82,967,11.8,35,4,53,64.63,15,0
