Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
chester-rogers,2018,IndianapolisColts,16,53,485,9.2,34,2,28,52.83,5,0
ben-roethlisberger,2018,PittsburghSteelers,16,1,-1,-1,-1,0,0,0,0,0
richard-rodgers,2018,PhiladelphiaEagles,7,1,7,7,7,0,1,100,0,0
aaron-rodgers,2018,GreenBayPackers,16,--,--,--,--,--,--,--,--,--
demarcus-robinson,2018,KansasCityChiefs,16,22,288,13.1,89,4,12,54.55,3,1
allen-robinson,2018,ChicagoBears,13,55,754,13.7,43,4,36,65.45,11,1
seth-roberts,2018,OaklandRaiders,15,45,494,11,44,2,24,53.33,7,1
michael-roberts,2018,DetroitLions,8,9,100,11.1,29,3,5,55.56,1,0
elandon-roberts,2018,NewEnglandPatriots,16,--,--,--,--,--,--,--,--,--
andre-roberts,2018,NewYorkJets,16,10,79,7.9,20,1,4,40,1,0
philip-rivers,2018,LosAngelesChargers,16,--,--,--,--,--,--,--,--,--
calvin-ridley,2018,AtlantaFalcons,16,64,821,12.8,75,10,39,60.94,11,4
theo-riddick,2018,DetroitLions,14,61,384,6.3,20,0,16,26.23,1,0
paul-richardson,2018,WashingtonRedskins,7,20,262,13.1,46,2,12,60,5,1
jalen-richard,2018,OaklandRaiders,16,68,607,8.9,32,0,23,33.82,5,0
patrick-ricard,2018,BaltimoreRavens,10,--,--,--,--,--,--,--,--,--
josh-reynolds,2018,LosAngelesRams,16,29,402,13.9,33,5,23,79.31,6,0
jordan-reed,2018,WashingtonRedskins,13,54,558,10.3,34,2,26,48.15,7,0
kalif-raymond,2018,TennesseeTitans,--,--,--,--,--,--,--,--,--,--
damion-ratley,2018,ClevelandBrowns,13,13,144,11.1,27,0,5,38.46,3,0
tyrone-swoopes,2018,SeattleSeahawks,1,1,23,23,23,0,1,100,1,0
erik-swoope,2018,IndianapolisColts,7,8,87,10.9,26,3,5,62.5,1,0
ryan-switzer,2018,PittsburghSteelers,16,36,253,7,24,1,15,41.67,1,0
geoff-swaim,2018,DallasCowboys,9,26,242,9.3,43,1,11,42.31,3,1
courtland-sutton,2018,DenverBroncos,16,42,704,16.8,42,4,30,71.43,16,3
luke-stocker,2018,TennesseeTitans,16,15,165,11,31,2,10,66.67,2,0
kenny-stills,2018,MiamiDolphins,15,37,553,15,75,6,27,72.97,7,2
equanimeous-st-brown,2018,GreenBayPackers,12,21,328,15.6,54,0,13,61.9,5,1
joe-staley,2018,SanFrancisco49ers,16,1,-5,-5,-5,0,0,0,0,0
matthew-stafford,2018,DetroitLions,16,--,--,--,--,--,--,--,--,--
darren-sproles,2018,PhiladelphiaEagles,6,15,160,10.7,37,2,6,40,3,0
jeremy-sprinkle,2018,WashingtonRedskins,16,5,41,8.2,15,1,3,60,0,0
bradley-sowell,2018,ChicagoBears,16,1,2,2,2,1,1,100,0,0
willie-snead,2018,BaltimoreRavens,16,62,651,10.5,28,1,37,59.68,5,0
durham-smythe,2018,MiamiDolphins,15,6,50,8.3,21,0,2,33.33,1,0
juju-smith-schuster,2018,PittsburghSteelers,16,111,1426,12.9,97,7,68,61.26,18,5
vyncint-smith,2018,HoustonTexans,7,5,91,18.2,35,1,3,60,2,0
tre-quan-smith,2018,NewOrleansSaints,15,28,427,15.3,62,5,23,82.14,6,1
rod-smith,2018,DallasCowboys,16,9,60,6.7,14,0,1,11.11,0,0
lee-smith,2018,OaklandRaiders,16,10,73,7.3,30,3,5,50,1,0
keith-smith,2018,OaklandRaiders,16,5,23,4.6,8,0,3,60,0,0
jonnu-smith,2018,TennesseeTitans,13,20,258,12.9,61,3,10,50,3,1
ito-smith,2018,AtlantaFalcons,14,27,152,5.6,20,0,9,33.33,1,0
geno-smith,2018,LosAngelesChargers,5,--,--,--,--,--,--,--,--,--
alex-smith,2018,WashingtonRedskins,10,--,--,--,--,--,--,--,--,--
wendell-smallwood,2018,PhiladelphiaEagles,16,28,230,8.2,36,2,9,32.14,3,0
matthew-slater,2018,NewEnglandPatriots,16,--,--,--,--,--,--,--,--,--
cam-sims,2018,WashingtonRedskins,1,--,--,--,--,--,--,--,--,--
scott-simonson,2018,NewYorkGiants,16,9,86,9.6,24,1,6,66.67,1,0
anthony-sherman,2018,KansasCityChiefs,16,8,96,12,36,1,5,62.5,1,0
